Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw
0.0341187,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,81|76|74|69|61|54|39|34|43|57|65|64|65|75|93|102|105|105|97|83|73|70|67|72|87|97|85|67
0.0684814,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.102844,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,61|67|68|60|69|74|71|70|70|69|69|70|76|87|91|89|90|97|92|76|61|57|59|58|52|43|41|43|40|27|5
0.13623,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.170593,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,-17|-22|-22|-21|-18|-14|-14|-12|-13|-21|-23|-19|-5|3|-1|-1|11|25|34|41|57|67|54|38|38|54|71|81|74|60|50|38
0.204956,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.238464,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,37|51|75|91|81|61|50|48|55|59|54|38|32|37|49|53|45|40|44|51|49|44|49|55|64|66|67|67|55|48|53|70
0.272766,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.307007,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,88|88|69|53|48|38|25|6|-8|-11|5|20|17|7|3|1|5|8|6|-1|-14|-22|-13|-3|0|-5|-9|-7|-1|10|21|32
0.341003,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.375305,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,34|34|34|35|33|33|33|32|33|40|51|56|57|53|43|39|38|43|56|71|75|70|66|75|89|100|103|99|90|85|87
0.408691,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.442078,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,96|100|105|102|91|86|83|81|84|76|71|76|87|102|114|120
0.475525,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,128|135|136|121|104|91|82|75|71|68|73|83|83|75|61|40
0.509277,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.543701,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,13|-4|-8|3|12|26|40|43|36|25|24|34|38|29|22|23|29|29|33|33|24|12|3|8|20|34|48|50|49|50|53|49
0.578125,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.611755,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,39|34|35|37|41|50|64|70|71|65|53|44|44|43|40|33|34|40|50|51|49|51|58|64|67|69|69|66|55|50|49|42
0.646179,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.679749,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,39|43|64|83|89|81|57|35|12|4|-3|-11|-12|-11|-4|0|3|10|25|35|38|29|24|28|40|39|24|9|-3|-7|-1
0.713806,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.748108,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,-1|-14|-26|-26|-18|-8|-3|1|10|26|33|23|5|1|16|25|27|23|24|27|26|26|32|36|32|19|12|18|16|9|7|3
0.782532,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.816223,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,-1|-2|1|12|26|35|37|42|54|65|68|64|55|56|61|64|69|74|80|80|76|73|76|86|96|97|90|84|77|76|81|76
0.849854,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.884155,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,70|60|55|52|50|44|40|37|48|58|60|53|44|32|18|21|34|36|34|42|51|55|49|42|41|36|23|13|12|12|22|36
0.918579,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
0.952087,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,42|40|37|41|41|29|24|26|33|32|28|37|50|54|45|24|6|5|10|11|6|-6|-11|3|25|43|44|36|41|55|69
0.986389,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
1.02087,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
1.05487,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,67|54|43|36|32|28|27|26|36|54|61|56|56|64|70|67|59|58|64|59|56|56|54|55|60|64|61|60|64|69|71|67
1.08929,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
1.12329,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,54|36|26|33|41|43|42|37|33|49|59|52|25|6|3|-1|-9|-11|-3|4|12|24|26|22|18|6|4|20|38|52|53|48
1.15747,0,44,43,76500,56449,5727,9375,15107,5715,2555,3043,
1.19189,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,35|23|10|5|4|6|16|25|37|37|28|22|21|28|35|37|33|34|50|64|57|52|54|55|52|56|58
1.22632,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,
1.26068,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,50|38|35|40|45|54|55|49|37|39|54|66|68|69|73|71|65|66|80|84|74|74|75|67|54|40|36|40|45|44|48|53
1.29492,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,
1.32916,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,52|42|29|18|11|10|18|24|27|32|39|48|50|43|37|41|48|40|37|39|37|33|25|18|18|20|12|-3|-10|-5|4|7
1.36334,0,13,23,24634,98123,2674,4824,8995,3424,3279,1719,
